Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],thetao [degrees_C],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-phy-001-024_1650864189395.nc,187,B,2022-04-01T12:00:00,98.0,1.33333,0,0.49402,1.33333,98.0,30.95172,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,188,B,2022-04-01T12:00:00,98.08334,1.33333,0,0.49402,1.33333,98.08334,30.971496,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,189,B,2022-04-01T12:00:00,98.16666,1.33333,0,0.49402,1.33333,98.16666,30.989807,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,190,B,2022-04-01T12:00:00,98.25,1.33333,0,0.49402,1.33333,98.25,31.024232,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,191,B,2022-04-01T12:00:00,98.33334,1.33333,0,0.49402,1.33333,98.33334,31.109195,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,192,B,2022-04-01T12:00:00,98.41666,1.33333,0,0.49402,1.33333,98.41666,31.142888,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,193,B,2022-04-01T12:00:00,98.5,1.33333,0,0.49402,1.33333,98.5,31.175115,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,194,B,2022-04-01T12:00:00,98.58334,1.33333,0,0.49402,1.33333,98.58334,31.271065,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,195,B,2022-04-01T12:00:00,98.66666,1.33333,0,0.49402,1.33333,98.66666,31.346507,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,196,B,2022-04-01T12:00:00,98.75,1.33333,0,0.49402,1.33333,98.75,31.419019,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,197,B,2022-04-01T12:00:00,98.83334,1.33333,0,0.49402,1.33333,98.83334,31.541337,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,202,B,2022-04-01T12:00:00,97.58334,1.41667,0,0.49402,1.41667,97.58334,30.961241,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,203,B,2022-04-01T12:00:00,97.66666,1.41667,0,0.49402,1.41667,97.66666,30.976623,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,204,B,2022-04-01T12:00:00,97.75,1.41667,0,0.49402,1.41667,97.75,30.975158,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,205,B,2022-04-01T12:00:00,97.83334,1.41667,0,0.49402,1.41667,97.83334,30.982482,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,206,B,2022-04-01T12:00:00,97.91666,1.41667,0,0.49402,1.41667,97.91666,30.987609,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,207,B,2022-04-01T12:00:00,98.0,1.41667,0,0.49402,1.41667,98.0,30.985412,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,208,B,2022-04-01T12:00:00,98.08334,1.41667,0,0.49402,1.41667,98.08334,30.998596,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,209,B,2022-04-01T12:00:00,98.16666,1.41667,0,0.49402,1.41667,98.16666,31.013245,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,210,B,2022-04-01T12:00:00,98.25,1.41667,0,0.49402,1.41667,98.25,31.045473,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,211,B,2022-04-01T12:00:00,98.33334,1.41667,0,0.49402,1.41667,98.33334,31.131901,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,212,B,2022-04-01T12:00:00,98.41666,1.41667,0,0.49402,1.41667,98.41666,31.151677,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,213,B,2022-04-01T12:00:00,98.5,1.41667,0,0.49402,1.41667,98.5,31.187567,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,214,B,2022-04-01T12:00:00,98.58334,1.41667,0,0.49402,1.41667,98.58334,31.304025,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,215,B,2022-04-01T12:00:00,98.66666,1.41667,0,0.49402,1.41667,98.66666,31.405835,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,216,B,2022-04-01T12:00:00,98.75,1.41667,0,0.49402,1.41667,98.75,31.565508,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,221,B,2022-04-01T12:00:00,97.5,1.5,0,0.49402,1.5,97.5,30.997864,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,222,B,2022-04-01T12:00:00,97.58334,1.5,0,0.49402,1.5,97.58334,30.965636,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,223,B,2022-04-01T12:00:00,97.66666,1.5,0,0.49402,1.5,97.66666,30.964904,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,224,B,2022-04-01T12:00:00,97.75,1.5,0,0.49402,1.5,97.75,30.950987,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,225,B,2022-04-01T12:00:00,97.83334,1.5,0,0.49402,1.5,97.83334,30.980285,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,226,B,2022-04-01T12:00:00,97.91666,1.5,0,0.49402,1.5,97.91666,31.008118,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,227,B,2022-04-01T12:00:00,98.0,1.5,0,0.49402,1.5,98.0,31.025697,633324
