Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,115,B,2022-04-01T12:00:00,98.66666,1.0,0,0.49402,1.0,98.66666,633324,-0.011597,-0.18128
global-analysis-forecast-phy-001-024_1650864290144.nc,116,B,2022-04-01T12:00:00,98.75,1.0,0,0.49402,1.0,98.75,633324,0.007935,-0.178228
global-analysis-forecast-phy-001-024_1650864290144.nc,117,B,2022-04-01T12:00:00,98.83334,1.0,0,0.49402,1.0,98.83334,633324,0.014649,-0.143437
global-analysis-forecast-phy-001-024_1650864290144.nc,118,B,2022-04-01T12:00:00,98.91666,1.0,0,0.49402,1.0,98.91666,633324,0.014039,-0.102542
global-analysis-forecast-phy-001-024_1650864290144.nc,126,B,2022-04-01T12:00:00,97.91666,1.08333,0,0.49402,1.08333,97.91666,633324,0.116581,-0.267953
global-analysis-forecast-phy-001-024_1650864290144.nc,127,B,2022-04-01T12:00:00,98.0,1.08333,0,0.49402,1.08333,98.0,633324,0.103153,-0.251473
global-analysis-forecast-phy-001-024_1650864290144.nc,128,B,2022-04-01T12:00:00,98.08334,1.08333,0,0.49402,1.08333,98.08334,633324,0.095828,-0.224616
global-analysis-forecast-phy-001-024_1650864290144.nc,129,B,2022-04-01T12:00:00,98.16666,1.08333,0,0.49402,1.08333,98.16666,633324,0.076907,-0.188604
global-analysis-forecast-phy-001-024_1650864290144.nc,130,B,2022-04-01T12:00:00,98.25,1.08333,0,0.49402,1.08333,98.25,633324,0.058596,-0.160527
global-analysis-forecast-phy-001-024_1650864290144.nc,131,B,2022-04-01T12:00:00,98.33334,1.08333,0,0.49402,1.08333,98.33334,633324,0.03357,-0.141606
global-analysis-forecast-phy-001-024_1650864290144.nc,132,B,2022-04-01T12:00:00,98.41666,1.08333,0,0.49402,1.08333,98.41666,633324,0.001831,-0.13245
global-analysis-forecast-phy-001-024_1650864290144.nc,133,B,2022-04-01T12:00:00,98.5,1.08333,0,0.49402,1.08333,98.5,633324,-0.026246,-0.140996
global-analysis-forecast-phy-001-024_1650864290144.nc,134,B,2022-04-01T12:00:00,98.58334,1.08333,0,0.49402,1.08333,98.58334,633324,-0.031739,-0.169683
global-analysis-forecast-phy-001-024_1650864290144.nc,135,B,2022-04-01T12:00:00,98.66666,1.08333,0,0.49402,1.08333,98.66666,633324,-0.011597,-0.195318
global-analysis-forecast-phy-001-024_1650864290144.nc,136,B,2022-04-01T12:00:00,98.75,1.08333,0,0.49402,1.08333,98.75,633324,0.015259,-0.187384
global-analysis-forecast-phy-001-024_1650864290144.nc,137,B,2022-04-01T12:00:00,98.83334,1.08333,0,0.49402,1.08333,98.83334,633324,0.025025,-0.156255
global-analysis-forecast-phy-001-024_1650864290144.nc,138,B,2022-04-01T12:00:00,98.91666,1.08333,0,0.49402,1.08333,98.91666,633324,0.021973,-0.134892
global-analysis-forecast-phy-001-024_1650864290144.nc,143,B,2022-04-01T12:00:00,97.66666,1.16667,0,0.49402,1.16667,97.66666,633324,0.079958,-0.13245
global-analysis-forecast-phy-001-024_1650864290144.nc,144,B,2022-04-01T12:00:00,97.75,1.16667,0,0.49402,1.16667,97.75,633324,0.104373,-0.127567
global-analysis-forecast-phy-001-024_1650864290144.nc,145,B,2022-04-01T12:00:00,97.83334,1.16667,0,0.49402,1.16667,97.83334,633324,0.153813,-0.162969
global-analysis-forecast-phy-001-024_1650864290144.nc,146,B,2022-04-01T12:00:00,97.91666,1.16667,0,0.49402,1.16667,97.91666,633324,0.156865,-0.241707
global-analysis-forecast-phy-001-024_1650864290144.nc,147,B,2022-04-01T12:00:00,98.0,1.16667,0,0.49402,1.16667,98.0,633324,0.111698,-0.222785
global-analysis-forecast-phy-001-024_1650864290144.nc,148,B,2022-04-01T12:00:00,98.08334,1.16667,0,0.49402,1.16667,98.08334,633324,0.084231,-0.202033
global-analysis-forecast-phy-001-024_1650864290144.nc,149,B,2022-04-01T12:00:00,98.16666,1.16667,0,0.49402,1.16667,98.16666,633324,0.061647,-0.174566
global-analysis-forecast-phy-001-024_1650864290144.nc,150,B,2022-04-01T12:00:00,98.25,1.16667,0,0.49402,1.16667,98.25,633324,0.039674,-0.152593
global-analysis-forecast-phy-001-024_1650864290144.nc,151,B,2022-04-01T12:00:00,98.33334,1.16667,0,0.49402,1.16667,98.33334,633324,0.013428,-0.140385
